"open file [us]","Read input [us]","create kernel [us]","run entire kernel [us]","read output [us]","write file [us]","execution time [us]","Writing to string buffer [ns]","Writing to return value [ns]","Lexer [ns]","Reading from token buffer [ns]","Reading from data buffer [ns]","Reading from return value [ns]"
37,51,797661,18493,1,6106,822349,27666,4500,696333,21500,18333,3750
35,41,687668,11549,0,5597,704892,28833,3916,689666,17250,17750,3916
35,67,711544,9441,0,5904,726993,23166,4083,690833,19166,14666,3166
51,77,703296,11104,0,5979,720509,35750,3416,690333,20416,19833,3250
43,67,710780,11162,0,6236,728290,29000,3666,690500,16333,18583,3416
35,40,683647,10551,0,5552,699828,26583,4416,698250,19166,21250,3833
43,61,712001,12241,0,5956,730304,34583,4166,701916,25333,21000,3750
48,75,728711,11700,0,6112,746649,40166,3416,690166,19416,14916,3083
59,69,735874,10760,0,5586,752350,28666,4083,691000,17416,18666,3916
43,62,725079,10252,0,5683,741121,36333,4083,690750,13916,14500,3416
44,58,746763,11047,0,11026,768942,38833,4750,696000,21333,18333,3583
37,48,695884,9208,0,6032,711212,32416,4666,693000,19083,15250,3416
39,47,783824,12708,0,6481,803101,28416,4833,698250,21500,20166,3833
43,55,688835,9290,0,8162,706388,27083,3833,690000,16750,13916,3333
40,55,729432,12340,0,6545,748414,32749,4500,694416,18916,25083,3916
39,54,684678,11411,0,5883,702068,27666,3750,691166,17166,16416,4083
36,45,736338,13498,1,6802,756722,34083,5250,700916,14416,18166,4500
51,71,719797,12307,0,5998,738226,34416,4000,691000,17333,15583,3833
37,46,708619,11566,0,5862,726132,39583,3833,691416,24166,23750,3750
35,44,751245,13100,0,5991,770417,47583,4750,699750,32166,31000,4833
