"open file [us]", "Read input [us]", "create kernel [us]", "run entire kernel [us]", "read output [us]", "write file [us]", "execution time [us]", "Writing to string buffer [ns]", "Writing to return value [ns]", "Lexer [ns]", "Reading from token buffer [ns]", "Reading from data buffer [ns]", "Reading from return value [ns]"
11,5,350349,516,0,588,351472,160261,336,26757,52894,46523,471
8,5,334726,543,0,555,335838,162128,1541,19904,52372,68081,401
10,7,328823,521,0,557,329920,143938,1490,21747,50372,65279,365
9,5,333781,553,0,610,334961,162571,1834,26677,47228,70527,1021
9,5,336214,512,0,564,337306,144970,1517,24546,48446,69331,331
10,6,329513,522,0,598,330651,158319,377,27489,48996,55718,286
8,6,339933,528,0,820,341297,151677,1862,20508,52068,67514,339
15,3,336156,543,0,638,337357,165833,1835,27152,48915,64173,316
15,3,320809,527,0,559,321914,159846,1028,25900,50785,51673,641
6,3,318055,566,0,541,319172,179707,224,35014,53029,49598,1482
5,3,321862,580,0,557,323008,163135,949,28821,53074,64901,1672
9,5,340812,555,0,592,341975,171502,949,18607,46136,65553,292
5,4,327422,503,0,624,328560,146119,429,25187,49274,49135,346
15,3,320777,533,0,617,321947,160577,404,35693,52617,45306,957
5,3,333473,555,0,553,334591,168486,945,25425,45674,51716,967
9,5,358138,547,0,591,359292,161330,1685,24805,48993,67567,405
22,3,325619,595,0,627,326868,172055,894,26292,51310,66049,246
5,3,322510,564,0,614,323699,153092,244,13657,56975,52343,363
5,3,325622,570,0,569,326770,162437,1654,46629,58089,68141,268
5,3,337460,510,0,548,338528,158102,360,23965,52663,54412,631
